SCED Time Stamp,Repeated Hour Flag,SUM TELEM DSR LOAD,SUM TELEM DSR GEN
01/09/2025 00:00:15,N,298.3,0
01/09/2025 00:15:11,N,297.2,0
01/09/2025 00:30:11,N,292.8,0
01/09/2025 00:45:11,N,291.1,0
01/09/2025 01:00:16,N,291.7,0
01/09/2025 01:15:11,N,291.1,0
01/09/2025 01:30:11,N,287.7,0
01/09/2025 01:45:11,N,285.3,0
01/09/2025 02:00:18,N,284.4,0
01/09/2025 02:15:11,N,283,0
01/09/2025 02:30:11,N,280,0
01/09/2025 02:45:10,N,277.9,0
01/09/2025 03:00:12,N,277.7,0
01/09/2025 03:15:11,N,276.8,0
01/09/2025 03:30:09,N,274.3,0
01/09/2025 03:45:10,N,276.2,0
01/09/2025 04:00:13,N,274.9,0
01/09/2025 04:15:11,N,275.1,0
01/09/2025 04:30:10,N,277.1,0
01/09/2025 04:45:11,N,277,0
01/09/2025 05:00:13,N,277.9,0
01/09/2025 05:15:10,N,280.7,0
01/09/2025 05:30:10,N,282.1,0
01/09/2025 05:45:09,N,285.1,0
01/09/2025 06:00:11,N,285.8,0
01/09/2025 06:15:11,N,286.4,0
01/09/2025 06:30:10,N,288.1,0
01/09/2025 06:45:10,N,290.1,0
01/09/2025 07:00:12,N,294.1,0
01/09/2025 07:15:10,N,296,0
01/09/2025 07:30:10,N,297.6,0
01/09/2025 07:45:09,N,297.4,0
01/09/2025 08:00:11,N,303.2,0
01/09/2025 08:15:10,N,306.4,0
01/09/2025 08:30:09,N,309.1,0
01/09/2025 08:45:11,N,313.3,0
01/09/2025 09:00:11,N,319.2,0
01/09/2025 09:15:13,N,318.6,0
01/09/2025 09:30:10,N,324.5,0
01/09/2025 09:45:11,N,326.8,0
01/09/2025 10:00:12,N,325.7,0
01/09/2025 10:15:09,N,327,0
01/09/2025 10:30:10,N,328.6,0
01/09/2025 10:45:11,N,331.4,0
01/09/2025 11:00:12,N,332.7,0
01/09/2025 11:15:09,N,331.9,0
01/09/2025 11:30:10,N,333.3,0
01/09/2025 11:45:09,N,335.1,0
01/09/2025 12:00:13,N,332.2,0
01/09/2025 12:15:10,N,338.4,0
01/09/2025 12:30:09,N,339.6,0
01/09/2025 12:45:10,N,337.3,0
01/09/2025 13:00:12,N,335.4,0
01/09/2025 13:15:09,N,334,0
01/09/2025 13:30:09,N,330.9,0
01/09/2025 13:45:10,N,331,0
01/09/2025 14:00:10,N,329.8,0
01/09/2025 14:15:11,N,330.9,0
01/09/2025 14:30:10,N,330.4,0
01/09/2025 14:45:11,N,330.4,0
01/09/2025 15:00:12,N,326.9,0
01/09/2025 15:15:11,N,326.3,0
01/09/2025 15:30:10,N,327.8,0
01/09/2025 15:45:10,N,331,0
01/09/2025 16:00:14,N,328.6,0
01/09/2025 16:15:11,N,327.6,0
01/09/2025 16:30:11,N,327.9,0
01/09/2025 16:45:10,N,329.7,0
01/09/2025 17:00:14,N,330.7,0
01/09/2025 17:15:11,N,332.2,0
01/09/2025 17:30:10,N,334.9,0
01/09/2025 17:45:11,N,333.8,0
01/09/2025 18:00:13,N,331.1,0
01/09/2025 18:15:11,N,332,0
01/09/2025 18:30:10,N,329.9,0
01/09/2025 18:45:10,N,327.2,0
01/09/2025 19:00:12,N,324,0
01/09/2025 19:15:10,N,323.8,0
01/09/2025 19:30:10,N,322.6,0
01/09/2025 19:45:10,N,321.9,0
01/09/2025 20:00:13,N,320.8,0
01/09/2025 20:15:11,N,317.9,0
01/09/2025 20:30:11,N,318.9,0
01/09/2025 20:45:10,N,316.7,0
01/09/2025 21:00:11,N,312.9,0
01/09/2025 21:15:12,N,312.6,0
01/09/2025 21:30:11,N,309.4,0
01/09/2025 21:45:11,N,308.4,0
01/09/2025 22:00:15,N,303.1,0
01/09/2025 22:15:10,N,298.1,0
01/09/2025 22:30:11,N,302.2,0
01/09/2025 22:45:10,N,298.1,0
01/09/2025 23:00:12,N,294,0
01/09/2025 23:15:11,N,293,0
01/09/2025 23:30:09,N,292.2,0
01/09/2025 23:45:10,N,288.5,0
