,year,value,negative,positive,Topic
0,1918,0.504325,0.0578,0.09935,Economy
1,1919,0.95433,0.0521,0.0964,Economy
2,1920,0.997475,0.04665,0.10955,Economy
3,1921,0.893945,0.0451,0.0957,Economy
4,1922,0.89622,0.04865,0.0869,Economy
5,1923,0.901275,0.05095,0.106,Economy
6,1924,0.81524,0.0483,0.08945,Economy
7,1925,0.705315,0.0576,0.10405,Economy
8,1926,0.89869,0.04115,0.1119,Economy
9,1927,0.9988,0.03665,0.0983,Economy
10,1928,0.998965,0.0428,0.1004,Economy
11,1929,0.898795,0.04825,0.1125,Economy
12,1930,0.898105,0.04965,0.10265,Economy
13,1931,0.997995,0.0484,0.09195,Economy
14,1932,0.786065,0.0515,0.09425,Economy
15,1933,0.71744,0.06075,0.0848,Economy
16,1934,0.897705,0.0576,0.1002,Economy
17,1935,0.86603,0.0601,0.10155,Economy
18,1936,0.720015,0.05485,0.1108,Economy
19,1937,0.889225,0.04475,0.1,Economy
20,1938,0.69828,0.0611,0.1004,Economy
21,1939,0.997295,0.0529,0.10015,Economy
22,1940,0.50525,0.06205,0.08615,Economy
23,1941,0.900055,0.0526,0.09195,Economy
24,1942,0.888995,0.0513,0.0928,Economy
25,1943,0.499415,0.07345,0.09375,Economy
26,1944,0.51435,0.064,0.1048,Economy
27,1945,0.400495,0.0752,0.08945,Economy
28,1946,0.69906,0.06245,0.09065,Economy
29,1947,0.89863,0.05085,0.0981,Economy
30,1948,0.69777,0.05015,0.09735,Economy
31,1949,0.995885,0.0442,0.0927,Economy
32,1950,0.888325,0.04465,0.077,Economy
33,1951,0.79507,0.05645,0.1075,Economy
34,1952,0.99148,0.0569,0.11365,Economy
35,1953,0.8885,0.04685,0.10195,Economy
36,1954,0.89355,0.04465,0.10495,Economy
,1955,0.597575,0.0521,0.09745,Economy
,1956,0.79509,0.04965,0.10245,Economy
,1957,0.918445,0.0384,0.0889,Economy
,1958,0.742185,0.048,0.0937,Economy
,1959,0.701615,0.0408,0.11265,Economy
,1960,0.89691,0.04825,0.0972,Economy
,1961,0.521865,0.05555,0.08135,Economy
,1962,0.991905,0.04945,0.105,Economy
,1900,0.899495,0.05725,0.0978,Economy
,1901,0.99956,0.0486,0.09915,Economy
,1902,0.998265,0.0492,0.09625,Economy
,1903,0.90069,0.0586,0.1019,Economy
,1904,0.90056,0.0524,0.0972,Economy
,1905,0.999285,0.04485,0.1086,Economy
,1906,0.899585,0.04065,0.103,Economy
,1907,0.88589,0.05095,0.09955,Economy
,1908,0.89931,0.0509,0.09735,Economy
,1909,0.8979,0.06225,0.10625,Economy
,1910,0.898165,0.05845,0.09605,Economy
,1911,0.899385,0.0439,0.10775,Economy
,1912,0.716785,0.04955,0.0983,Economy
,1913,0.896875,0.04835,0.0908,Economy
,1914,0.979095,0.05285,0.10375,Economy
,1915,0.898475,0.05025,0.09395,Economy
,1916,0.802245,0.06115,0.1007,Economy
,1917,0.986565,0.0438,0.1115,Economy
,1850,0.99993,0.03975,0.10175,Economy
,1851,0.99991,0.0486,0.10575,Economy
,1852,0.901465,0.0384,0.09105,Economy
,1853,0.99959,0.04915,0.10615,Economy
,1854,0.99989,0.048,0.10115,Economy
,1855,0.999695,0.0495,0.09225,Economy
,1856,0.99976,0.04295,0.097,Economy
,1857,0.800015,0.04055,0.08135,Economy
,1858,0.99874,0.0501,0.08065,Economy
,1859,0.996205,0.0426,0.09015,Economy
,1860,0.998795,0.04255,0.07065,Economy
,1861,0.999785,0.04745,0.09255,Economy
,1862,0.800825,0.0547,0.09115,Economy
,1863,0.797535,0.05745,0.08785,Economy
,1864,0.899265,0.0562,0.088,Economy
,1865,0.701575,0.0507,0.0803,Economy
,1866,0.80136,0.04605,0.0895,Economy
,1867,0.90131,0.0526,0.0961,Economy
,1868,0.999385,0.0489,0.0962,Economy
,1869,0.900165,0.0493,0.08395,Economy
,1870,0.999455,0.047,0.0937,Economy
,1871,0.800815,0.06055,0.09535,Economy
,1872,0.61227,0.0472,0.08435,Economy
,1873,0.799365,0.05085,0.09115,Economy
,1874,0.99276,0.0598,0.10725,Economy
,1875,0.999705,0.04695,0.0971,Economy
,1876,0.998335,0.04705,0.10065,Economy
,1877,0.998435,0.05015,0.103,Economy
,1878,0.89964,0.05405,0.10025,Economy
,1879,0.40908,0.05825,0.0857,Economy
,1880,0.9783,0.058,0.103,Economy
,1881,0.70072,0.04745,0.0954,Economy
,1882,0.899555,0.04335,0.09965,Economy
,1883,0.99518,0.0446,0.08635,Economy
,1884,0.799295,0.0554,0.09895,Economy
,1885,0.79989,0.06235,0.1094,Economy
,1886,0.799415,0.05105,0.09265,Economy
,1887,0.98482,0.05275,0.0936,Economy
,1888,0.986435,0.0481,0.1047,Economy
,1889,0.640635,0.06345,0.09645,Economy
,1890,0.810005,0.0529,0.0998,Economy
,1891,0.699105,0.06525,0.10795,Economy
,1892,0.79672,0.05295,0.09405,Economy
,1893,0.99934,0.0471,0.10085,Economy
,1894,0.89482,0.05255,0.09465,Economy
,1895,0.89838,0.0535,0.09445,Economy
,1896,0.99363,0.05285,0.1086,Economy
,1897,0.897395,0.0527,0.09505,Economy
,1898,0.80226,0.06055,0.0988,Economy
,1899,0.798095,0.05675,0.0969,Economy
,1927,0.70926,0.06195,0.10415,Freedom
,1928,0.77652,0.0633,0.09855,Freedom
,1929,0.589755,0.0644,0.0965,Freedom
,1930,0.678005,0.07545,0.103,Freedom
,1931,0.49056,0.07595,0.0995,Freedom
,1932,0.19558,0.08105,0.0913,Freedom
,1933,0.394545,0.0772,0.0969,Freedom
,1934,0.57901,0.06965,0.09065,Freedom
,1935,0.6997,0.068,0.1062,Freedom
,1936,0.998905,0.06065,0.11255,Freedom
,1937,0.994745,0.06555,0.11025,Freedom
,1938,0.686475,0.06375,0.1046,Freedom
,1939,0.690445,0.05865,0.10675,Freedom
,1940,0.700135,0.0648,0.0992,Freedom
,1941,0.889375,0.06315,0.1049,Freedom
,1942,0.984675,0.0665,0.1161,Freedom
,1943,0.70345,0.078,0.0982,Freedom
,1944,0.7048,0.0604,0.1146,Freedom
,1945,0.29444,0.0806,0.09475,Freedom
,1946,0.80581,0.0602,0.1197,Freedom
,1947,0.998905,0.0527,0.1144,Freedom
,1948,0.898535,0.05245,0.1028,Freedom
,1949,0.68765,0.053,0.10045,Freedom
,1950,0.79045,0.05255,0.08905,Freedom
,1951,0.997035,0.07205,0.1358,Freedom
,1952,0.87486,0.0611,0.0919,Freedom
,1953,0.98243,0.0457,0.1063,Freedom
,1954,0.798255,0.05495,0.10795,Freedom
,1955,0.703325,0.0562,0.10105,Freedom
,1956,0.998315,0.05345,0.10285,Freedom
,1957,0.89851,0.0534,0.10195,Freedom
,1958,0.99757,0.05515,0.10905,Freedom
,1959,0.91349,0.0541,0.10535,Freedom
,1960,0.64761,0.05715,0.0843,Freedom
,1961,0.89823,0.0529,0.0983,Freedom
,1962,0.99814,0.05115,0.10275,Freedom
,1963,0.51315,0.0635,0.1098,Freedom
,1850,0.99982,0.05355,0.10665,Freedom
,1851,0.833455,0.05335,0.1022,Freedom
,1852,0.80002,0.0584,0.0982,Freedom
,1853,0.999385,0.064,0.118,Freedom
,1854,0.900255,0.0566,0.10595,Freedom
,1855,0.900205,0.0614,0.0984,Freedom
,1856,0.98081,0.04895,0.0901,Freedom
,1857,0.799905,0.05765,0.08375,Freedom
,1858,0.805265,0.06455,0.0935,Freedom
,1859,0.99917,0.05325,0.0971,Freedom
,1860,0.999085,0.05065,0.08005,Freedom
,1861,0.89939,0.0541,0.0873,Freedom
,1862,0.501595,0.07585,0.08935,Freedom
,1863,0.594705,0.06145,0.0869,Freedom
,1864,0.69956,0.06425,0.09125,Freedom
,1865,0.51843,0.06715,0.08855,Freedom
,1866,0.80474,0.0547,0.09725,Freedom
,1867,0.897645,0.05775,0.0899,Freedom
,1868,0.99943,0.0549,0.09215,Freedom
,1869,0.800085,0.053,0.09155,Freedom
,1870,0.81647,0.0538,0.09715,Freedom
,1871,0.799565,0.06205,0.09555,Freedom
,1872,0.907405,0.05185,0.10125,Freedom
,1873,0.999755,0.0476,0.0926,Freedom
,1874,0.999495,0.05845,0.0991,Freedom
,1875,0.794005,0.05985,0.09435,Freedom
,1876,0.703415,0.0616,0.10055,Freedom
,1877,0.61161,0.06295,0.089,Freedom
,1878,0.99941,0.06635,0.10505,Freedom
,1879,0.40088,0.0629,0.0808,Freedom
,1880,0.799035,0.0605,0.09475,Freedom
,1881,0.89975,0.05365,0.09735,Freedom
,1882,0.59966,0.0652,0.09595,Freedom
,1883,0.8021,0.06535,0.0945,Freedom
,1884,0.294345,0.0691,0.09565,Freedom
,1885,0.799685,0.06195,0.09645,Freedom
,1886,0.898565,0.05335,0.10355,Freedom
,1887,0.8028,0.05725,0.1075,Freedom
,1888,0.700015,0.06395,0.1044,Freedom
,1889,0.899665,0.05215,0.1163,Freedom
,1890,0.69985,0.06815,0.10935,Freedom
,1891,0.90064,0.05985,0.09575,Freedom
,1892,0.598455,0.07105,0.092,Freedom
,1893,0.898555,0.0589,0.0931,Freedom
,1894,0.5004,0.07035,0.097,Freedom
,1895,0.999575,0.0544,0.1101,Freedom
,1896,0.99937,0.0586,0.1105,Freedom
,1897,0.613675,0.05785,0.1059,Freedom
,1898,0.60372,0.07565,0.0997,Freedom
,1899,0.99692,0.0623,0.1104,Freedom
,1900,0.997715,0.06345,0.10315,Freedom
,1901,0.89767,0.06535,0.1025,Freedom
,1902,0.899625,0.0552,0.1061,Freedom
,1903,0.815315,0.05345,0.0903,Freedom
,1904,0.89898,0.06115,0.1062,Freedom
,1905,0.76312,0.0629,0.11085,Freedom
,1906,0.999535,0.06215,0.11425,Freedom
,1907,0.516265,0.0658,0.09605,Freedom
,1908,0.88528,0.05355,0.09365,Freedom
,1909,0.889395,0.06195,0.0988,Freedom
,1910,0.79567,0.06275,0.1067,Freedom
,1911,0.99918,0.05035,0.11425,Freedom
,1912,0.89976,0.0528,0.1194,Freedom
,1913,0.700345,0.06035,0.1125,Freedom
,1914,0.59565,0.0696,0.10505,Freedom
,1915,0.69587,0.06125,0.11365,Freedom
,1916,0.787025,0.0697,0.115,Freedom
,1917,0.998665,0.0663,0.1204,Freedom
,1918,0.599335,0.06885,0.10615,Freedom
,1919,0.89866,0.05505,0.1106,Freedom
,1920,0.99873,0.05215,0.1156,Freedom
,1921,0.820405,0.053,0.09295,Freedom
,1922,0.799415,0.06355,0.1063,Freedom
,1923,0.998835,0.0582,0.11885,Freedom
,1924,0.902495,0.05505,0.1107,Freedom
,1925,0.99748,0.0558,0.1001,Freedom
,1926,0.76795,0.0574,0.11155,Freedom
,1927,0.89916,0.04665,0.10015,Liberty
,1928,0.699775,0.0475,0.08445,Liberty
,1929,0.998705,0.055,0.1022,Liberty
,1930,0.69997,0.05085,0.09385,Liberty
,1931,0.799,0.05215,0.0952,Liberty
,1932,0.69805,0.05275,0.0881,Liberty
,1933,0.61012,0.0562,0.08805,Liberty
,1934,0.80005,0.055,0.10315,Liberty
,1935,0.699495,0.053,0.10365,Liberty
,1936,0.698665,0.0652,0.1075,Liberty
,1937,0.71932,0.069,0.09735,Liberty
,1938,0.593965,0.05825,0.09705,Liberty
,1939,0.796895,0.06325,0.1019,Liberty
,1940,0.799905,0.05405,0.09665,Liberty
,1941,0.608035,0.07195,0.10295,Liberty
,1942,0.890995,0.0499,0.08255,Liberty
,1943,0.704285,0.0738,0.1002,Liberty
,1944,0.532295,0.0657,0.09605,Liberty
,1945,0.338535,0.063,0.0916,Liberty
,1946,0.503275,0.0599,0.0979,Liberty
,1947,0.698355,0.0584,0.09665,Liberty
,1948,0.898955,0.0417,0.09635,Liberty
,1949,0.903505,0.0426,0.1045,Liberty
,1950,0.75798,0.04935,0.08935,Liberty
,1951,0.79714,0.05585,0.10095,Liberty
,1952,0.795585,0.05325,0.0897,Liberty
,1953,0.997865,0.03075,0.08825,Liberty
,1954,0.896035,0.0495,0.0967,Liberty
,1955,0.711495,0.0422,0.0919,Liberty
,1956,0.999425,0.04465,0.09675,Liberty
,1957,0.82779,0.05265,0.0943,Liberty
,1958,0.998755,0.0348,0.0835,Liberty
,1959,0.911425,0.04175,0.09405,Liberty
,1960,0.786225,0.04905,0.09,Liberty
,1961,0.717575,0.04765,0.09285,Liberty
,1962,0.70191,0.0435,0.08965,Liberty
,1963,0.91926,0.0471,0.11285,Liberty
,1850,0.80615,0.04625,0.0896,Liberty
,1851,0.900095,0.0472,0.0877,Liberty
,1852,0.701575,0.0675,0.1039,Liberty
,1853,0.60697,0.047,0.0869,Liberty
,1854,0.996355,0.0558,0.106,Liberty
,1855,0.99955,0.05475,0.09255,Liberty
,1856,0.799725,0.04685,0.08615,Liberty
,1857,0.896525,0.04945,0.07695,Liberty
,1858,0.789345,0.04765,0.07775,Liberty
,1859,0.70102,0.05565,0.08435,Liberty
,1860,0.999,0.0511,0.08885,Liberty
,1861,0.986065,0.0605,0.0867,Liberty
,1862,0.800995,0.0626,0.09005,Liberty
